COD_CIR;Origen;Destino;Nom_orig;Nom_Des;Km;Res;Reac;tension;proy
LNX-219;SICN104;SICN212;Chaglla 220 kV;Huanuco 220 kV;57;0.0486;0.3783;220;0
LNX-220;SICN212;SICN-39;Huanuco 220 kV;Paragsha 220 kV;128.5;0.0486;0.3783;220;0
LNE-a45;SICN-53;SICN212;Tingo Maria 220 kV;Huanuco 220 kV;86.5;0.0575;0.505;220;0
LNE-b45;SICN212;SICN-56;Huanuco 220 kV;Vizcarra 220 kV;120.5;0.0575;0.505;220;0
LNX-134;SICN212;SICN156;Huanuco 220 kV;Yungas 220 kV;100;0.0376;0.3762;220;0
LNXa121;SICN-53;SICN153;Tingo Maria 220 kV;Tingo Maria N 220 kV;4.5;0.0376;0.3762;220;0
LNXb121;SICN153;SICN104;Tingo Maria N 220 kV;Chaglla 220 kV;33.9;0.0376;0.3762;220;0
LNE-044;SICN-01;SICN-53;Aguaytia 220 kV;Tingo Maria 220 kV;73.3;0.0575;0.505;220;0
LNE-144;SICN-01;SICN153;Aguaytia 220 kV;Tingo Maria N 220 kV;73.3;0.0376;0.3762;220;0
LNE-220;SICN-28;SICN-04;Mantaro 220 kV;Colcabamba 220 kV;1;0.0814;15.9251;220;0
LNE-145;SICN-04;SICN128;Colcabamba 220 kV;CAguila 220 kV;19.4;0.04;0.3909;220;0
LNE-146;SICN-04;SICN128;Colcabamba 220 kV;CAguila 220 kV;19.4;0.0402;0.3905;220;0
LNE-085;SICN-28;SICN-74;Mantaro 220 kV;Cotaruse 220 kV;294;0.0422;0.3902;220;0
LNE-086;SICN-28;SICN-74;Mantaro 220 kV;Cotaruse 220 kV;294;0.0422;0.3902;220;0
LNE-096;SICN-74;SIS-24;Cotaruse 220 kV;Socabaya 220 kV;315;0.0421;0.1403;220;0
LNE-097;SICN-74;SIS-24;Cotaruse 220 kV;Socabaya 220 kV;315;0.0421;0.1403;220;0
LNX-070;SIS-13;SIS-24;Cerro Verde 220 kV;Socabaya 220 kV;9.7;0.068;0.48;220;0
LNX-071;SIS-13;SIS-24;Cerro Verde 220 kV;Socabaya 220 kV;9.7;0.068;0.48;220;0
LNX-072;SIS-13;SIS-32;Cerro Verde 220 kV;San Luis CV 220 kV;15;0.0477;0.383;220;1
